,datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable,timedate,Hour,Day,Month,Year
372,1/2/2016 14:00,1/2/2016 9:00,Wind,1256.7,0.01,TRUE,1/2/2016 9:00,9,2,1,2016
376,1/2/2016 15:00,1/2/2016 10:00,Hydro,639.1,0.01,TRUE,1/2/2016 10:00,10,2,1,2016
380,1/2/2016 15:00,1/2/2016 10:00,Other Renewables,550.3,0,TRUE,1/2/2016 10:00,10,2,1,2016
381,1/2/2016 15:00,1/2/2016 10:00,Solar,46.6,0,TRUE,1/2/2016 10:00,10,2,1,2016
383,1/2/2016 15:00,1/2/2016 10:00,Wind,1371.9,0.02,TRUE,1/2/2016 10:00,10,2,1,2016
388,1/2/2016 16:00,1/2/2016 11:00,Hydro,689.3,0.01,TRUE,1/2/2016 11:00,11,2,1,2016
390,1/2/2016 16:00,1/2/2016 11:00,Wind,1572.4,0.02,TRUE,1/2/2016 11:00,11,2,1,2016
394,1/2/2016 16:00,1/2/2016 11:00,Other Renewables,546.2,0,TRUE,1/2/2016 11:00,11,2,1,2016
395,1/2/2016 16:00,1/2/2016 11:00,Solar,55.1,0,TRUE,1/2/2016 11:00,11,2,1,2016
398,1/2/2016 17:00,1/2/2016 12:00,Hydro,637.3,0.01,TRUE,1/2/2016 12:00,12,2,1,2016
402,1/2/2016 17:00,1/2/2016 12:00,Other Renewables,550.3,0,TRUE,1/2/2016 12:00,12,2,1,2016
403,1/2/2016 17:00,1/2/2016 12:00,Solar,57.3,0,TRUE,1/2/2016 12:00,12,2,1,2016
405,1/2/2016 17:00,1/2/2016 12:00,Wind,1681.1,0.02,TRUE,1/2/2016 12:00,12,2,1,2016
410,1/2/2016 18:00,1/2/2016 13:00,Hydro,615.3,0.01,TRUE,1/2/2016 13:00,13,2,1,2016
412,1/2/2016 18:00,1/2/2016 13:00,Solar,53.2,0,TRUE,1/2/2016 13:00,13,2,1,2016
414,1/2/2016 18:00,1/2/2016 13:00,Other Renewables,553.9,0,TRUE,1/2/2016 13:00,13,2,1,2016
